author                 , published_at        , updated_at          , like_count, text
@hms_radio             , 2026-02-25T06:30:05Z, 2026-02-25T06:30:05Z, 1         , 이 음악 듣고 다시 태어난 기분입니다.
@arsyadgoogle8537      , 2026-02-19T07:34:48Z, 2026-02-19T07:34:48Z, 1         , 🔥
@Nonameddddd1          , 2026-02-15T03:59:56Z, 2026-02-15T03:59:56Z, 3         , 노래 다 너무 좋아요❤ 네이버에 노래찾기해도 가수랑 앨범이 안떠서 당황했는데 채널주분 노래이실줄이야... 앞으로 더 많은 분들께 노래를 들려주는 가수가 되셨으면 좋겠네요!
@PORU123               , 2026-02-15T01:03:46Z, 2026-02-15T01:03:46Z, 1         , "brazilian here, i really like these songs, such good vibe"
@키키-l6r                , 2026-02-13T02:44:03Z, 2026-02-13T02:44:03Z, 1         , "노래 정말 잘 들었습니다. 노래가 하나같이 다 제가 좋아하는 느낌이라서 차분한 기분을 누릴 수 있었어요.  오늘 이렇게 새로운 아티스트분을 알게 되어서 무척이나 기쁩니다. 정말 모든 노래가 다 제 취향이었는데, 그 중에서도 broken이 제일 좋았던 것 같아요. 아니 제일 좋아요. 가사가 쳐도 나오질 않아서 들리는대로만 이해해서 제대로 이해한 건진 모르겠지만, 가사도 너무 쓸쓸하달까요. 정말 딱 겨울의 느낌이 나는 곡이라서 취향저격 당한 것 같습니다. 아무튼 솔직히 다 너무 제 취향이라서 플리에 다 담아놨어요. 앞으로도 열심히 들을게요!!"
@날아라-i4s               , 2026-02-10T09:22:04Z, 2026-02-10T09:22:04Z, 1         , 🎉
@phongdoan496          , 2026-02-08T14:45:03Z, 2026-02-08T14:45:03Z, 0         , No more &quot;AI will replace your job - buy my course&quot; fearbait - all thanks to Blockify.
@skylover7517          , 2026-01-30T14:24:09Z, 2026-01-30T14:24:09Z, 1         , "i see adrien brody, i click."
@JadenDiPaolo          , 2026-01-22T15:25:54Z, 2026-01-22T15:25:54Z, 1         , 11/10 my favorite playlist right now
@user-mh3ii9iu6        , 2026-01-22T14:41:26Z, 2026-01-22T14:41:26Z, 1         , 라쎄린느도 생각나고... 하여튼 좋다
@user-sf1se8yp4l       , 2026-01-18T13:50:04Z, 2026-01-18T13:50:04Z, 1         , 나만 데미안 라이스 생각한거 아니구나 신기하다 노래 너무좋아
@breadjeung            , 2026-01-17T03:43:22Z, 2026-01-17T03:43:22Z, 1         , 나의 요동치는 복잡미묘한 마음을 표현해놓은것 같은 선율
@aldo-l2v              , 2026-01-17T01:22:00Z, 2026-01-17T01:22:00Z, 1         , 화이팅!!!!!!!!!!!!❤
@한지원-y6c               , 2026-01-14T12:21:21Z, 2026-01-14T12:21:21Z, 5         , 아니 노래 너무 좋아서 더보기 음악 보고 한시인 찾는데 안나오길래 뭐지 하고있었는데 주인장이였네;;
